title	Problem:	Implication:	Workaround:	Status:
  Changing the Memory Type for an In-Use Page Translation May Lead to Memory-Ordering Violations  	  Under complex micro architectural conditions, if software changes the memory type for data being actively used and shared by multiple threads without the use of semaphores or barriers, software may see load operations execute out of order.  	  Memory ordering may be violated. Intel has not observed this erratum with any commercially available software.  	 Software should ensure pages are not being actively used before requesting their memory type be changed. 	  For the steppings affected, see the Summary Tables of Changes. 
  Code Segment Limit/Canonical Faults on RSM May be Serviced before Higher Priority Interrupts/Exceptions and May Push the Wrong Address Onto the Stack  	  Normally, when the processor encounters a Segment Limit or Canonical Fault due to code execution, a #GP (General Protection Exception) fault is generated after all higher priority Interrupts and exceptions are serviced. Due to this erratum, if RSM (Resume from System Management Mode) returns to execution flow that results in a Code Segment Limit or Canonical Fault, the #GP fault may be serviced before a higher priority Interrupt or Exception (e.g. NMI (Non-Maskable Interrupt), Debug break(#DB), Machine Check (#MC), etc.). If the RSM attempts to return to a non-canonical address, the address pushed onto the stack for this #GP fault may not match the non-canonical address that caused the fault.  	  Operating systems may observe a #GP fault being serviced before higher priority Interrupts and Exceptions. Intel has not observed this erratum on any commercially available software.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Corruption of CS Segment Register During RSM While Transitioning From Real Mode to Protected Mode  	  During the transition from real mode to protected mode, if an SMI (System Management Interrupt) occurs between the MOV to CR0 that sets PE (Protection Enable, bit 0) and the first far JMP, the subsequent RSM (Resume from System Management Mode) may cause the lower two bits of CS segment register to be corrupted.  	  The corruption of the bottom two bits of the CS segment register will have no impact unless software explicitly examines the CS segment register between enabling protected mode and the first far JMP. Intel® 64 and IA-32 Architectures Software Developer’s Manual Volume 3A: System Programming Guide, Part 1, in the section   18  titled "Switching to Protected Mode" recommends the far JMP immediately follows the write to CR0 to enable protected mode. Intel has not observed this erratum with any commercially available software. 	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Debug Exception Flags DR6.B0-B3 Flags May be Incorrect for Disabled Breakpoints  	  When a debug exception is signaled on a load that crosses cache lines with data forwarded from a store and whose corresponding breakpoint enable flags are disabled (DR7.G0-G3 and DR7.L0-L3), the DR6.B0-B3 flags may be incorrect.  	  The debug exception DR6.B0-B3 flags may be incorrect for the load if the corresponding breakpoint enable flag in DR7 is disabled.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  DR6 May Contain Incorrect Information When the First Instruction After a MOV SS,r/m or POP SS is a Store  	  Normally, each instruction clears the changes in DR6 (Debug Status Register) caused by the previous instruction. However, the instruction following a MOV SS,r/m (MOV to the stack segment selector) or POP SS (POP stack segment selector) instruction will not clear the changes in DR6 because data breakpoints are not taken immediately after a MOV SS,r/m or POP SS instruction. Due to this erratum, any DR6 changes caused by a MOV SS,r/m or POP SS instruction may be cleared if the following instruction is a store.  	  When this erratum occurs, incorrect information may exist in DR6. This erratum will not be observed under normal usage of the MOV SS,r/m or POP SS instructions (i.e., following them with an instruction that writes [e/r]SP). When debugging or when developing debuggers, this behavior should be noted.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  EFLAGS Discrepancy on Page Faults and on EPT-Induced VM Exits after a Translation Change  	  This erratum is regarding the case where paging structures are modified to change a linear address from writable to non-writable without software performing an appropriate TLB invalidation. When a subsequent access to that address by a specific instruction (ADD, AND, BTC, BTR, BTS, CMPXCHG, DEC, INC, NEG, NOT, OR, ROL/ROR, SAL/SAR/SHL/SHR, SHLD, SHRD, SUB, XOR, and XADD) causes a page fault or an EPTinduced VM exit, the value saved for EFLAGS may incorrectly contain the arithmetic flag values that the EFLAGS register would have held had the instruction completed without fault or VM exit. For page faults, this can occur even if the fault causes a VM exit or if its delivery causes a nested fault.  	  None identified. Although the EFLAGS value saved by an affected event (a page fault or an EPT-induced VM exit) may contain incorrect arithmetic flag values, Intel has not identified software that is affected by this erratum. This erratum will have no further effects once the original instruction is restarted because the instruction will produce the same results as if it had initially completed without fault or VM exit.  	 If the handler of the affected events inspects the arithmetic portion of the saved EFLAGS value, then system software should perform a synchronized paging structure modification and TLB invalidation. 	  19  For the steppings affected, see the Summary Tables of Changes.  
  Fault on ENTER Instruction May Result in Unexpected Values on Stack Frame  	  The ENTER instruction is used to create a procedure stack frame. Due to this erratum, if execution of the ENTER instruction results in a fault, the dynamic storage area of the resultant stack frame may contain unexpected values (i.e. residual stack data as a result of processing the fault).  	  Data in the created stack frame may be altered following a fault on the ENTER instruction. Please refer to "Procedure Calls For Block-Structured Languages" in IA-32 Intel® Architecture Software Developer’s Manual, Vol. 1, Basic Architecture, for information on the usage of the ENTER instructions. This erratum is not expected to occur in ring 3. Faults are usually processed in ring 0 and stack switch occurs when transferring to ring 0. Intel has not observed this erratum on any commercially available software.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Faulting MMX Instruction May Incorrectly Update x87 FPU Tag Word  	  Under a specific set of conditions, MMX stores (MOVD, MOVQ, MOVNTQ, MASKMOVQ) which cause memory access faults (#GP, #SS, #PF, or #AC), may incorrectly update the x87 FPU tag word register. This erratum will occur when the following additional conditions are also met. • The MMX store instruction must be the first MMX instruction to operate on x87 FPU state (i.e. the x87 FP tag word is not already set to 0x0000). • For MOVD, MOVQ, MOVNTQ stores, the instruction must use an addressing mode that uses an index register (this condition does not apply to MASKMOVQ).  	  If the erratum conditions are met, the x87 FPU tag word register may be incorrectly set to a 0x0000 value when it should not have been modified.  	 None identified 	  For the steppings affected, see the Summary Tables of Changes. 
 	NA	NA	NA	NA
 During SMM  	 	NA	NA	NA
 counter has overflowed. However, IA32_DEBUGCTL_MSR.FREEZE_WHILE_SMM (MSR 1D9H, bit [14]) prevents performance counters from counting during SMM (System Management Mode). Due to this erratum, if 1. A performance counter overflowed before an SMI	NA	NA	NA	NA
 not occurred 3. The monitored event occurs during SMM	NA	NA	NA	NA
 occurs outside of SMM.  	NA	 	NA	NA
 performance counter detecting the monitored event during SMM; even when FREEZE_WHILE_SMM is set.  	NA	NA	 None identified. 	  For the steppings affected, see the Summary Tables of Changes.   20 
  General Protection Fault (#GP) for Instructions Greater than 15 Bytes May be Preempted  	  When the processor encounters an instruction that is greater than 15 bytes in length, a #GP is signaled when the instruction is decoded. Under some circumstances, the #GP fault may be preempted by another lower priority fault (e.g. Page Fault (#PF)). However, if the preempting lower priority faults are resolved by the operating system and the instruction retried, a #GP fault will occur.  	  Software may observe a lower-priority fault occurring before or in lieu of a #GP fault. Instructions of greater than 15 bytes in length can only occur if redundant prefixes are placed before the instruction.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  #GP on Segment Selector Descriptor that Straddles Canonical Boundary May Not Provide Correct Exception Error Code  	  During a #GP (General Protection Exception), the processor pushes an error code on to the exception handler’s stack. If the segment selector descriptor straddles the canonical boundary, the error code pushed onto the stack may be incorrect.  	  An incorrect error code may be pushed onto the stack. Intel has not observed this erratum with any commercially available software.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  An Event May Intervene Before a System Management Interrupt That Results from IN or INS  	  If an I/O instruction (IN, INS, OUT, or OUTS) results in an SMI (system-management interrupt), the processor will set the IO_SMI bit at offset 7FA4H in SMRAM. This interrupt should be delivered immediately after execution of the I/O instruction so that the software handling the SMI can cause the I/O instruction to be re-executed. Due to this erratum, it is possible for another event (e.g., a non maskable interrupt) to be delivered before the SMI that follows the execution of an IN or INS instruction.  	  If software handling an affected SMI uses I/O instruction restart, the handler for the intervening event will not be executed.  	 The SMM handler has to evaluate the saved context to determine if the SMI was triggered by an instruction that read from an I/O port. The SMM handler must not restart an I/O instruction if the platform has not been configured to generate a synchronous SMI for the recorded I/O port address. 	  For the steppings affected, see the Summary Tables of Changes. 
  IRET under Certain Conditions May Cause an Unexpected Alignment Check Exception  	  In IA-32e mode, it is possible to get an Alignment Check Exception (#AC) on the IRET instruction even though alignment checks were disabled at the start of the IRET. This can only occur if the IRET instruction is returning from CPL3 code to CPL3 code. IRETs from CPL0/1/2 are not affected. This erratum can occur if the EFLAGS value on the stack has the AC flag set, and the interrupt handler's stack is misaligned. In IA-32e mode, RSP is aligned to a 16-byte boundary before pushing the stack frame.  	  In IA-32e mode, under the conditions given above, an IRET can get a #AC even if alignment checks are disabled at the start of the IRET. This erratum can only be observed with a software generated stack frame.  	 Software should not generate misaligned stack frames for use with IRET. 	  21  For the steppings affected, see the Summary Tables of Changes.  
  LER MSRs May Be Unreliable  	  Due to certain internal processor events, updates to the LER (Last Exception Record) MSRs, MSR_LER_FROM_LIP (1DDH) and MSR_LER_TO_LIP (1DEH), may happen when no update was expected.  	  The values of the LER MSRs may be unreliable.  	 None Identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  LBR, BTS, BTM May Report a Wrong Address when an Exception/ Interrupt Occurs in 64-bit Mode  	  An exception/interrupt event should be transparent to the LBR (Last Branch Record), BTS (Branch Trace Store) and BTM (Branch Trace Message) mechanisms. However, during a specific boundary condition where the exception/interrupt occurs right after the execution of an instruction at the lower canonical boundary (0x00007FFFFFFFFFFF) in 64-bit mode, the LBR return registers will save a wrong return address with bits 63 to 48 incorrectly sign extended to all 1’s. Subsequent BTS and BTM operations which report the LBR will also be incorrect.  	  LBR, BTS and BTM may report incorrect information in the event of an exception/ interrupt.  	  None identified.  	  For the steppings affected, see the Summary Tables of Changes. 
  MCi_Status Overflow Bit May Be Incorrectly Set on a Single Instance of a DTLB Error  	  A single Data Translation Look Aside Buffer (DTLB) error can incorrectly set the Overflow (bit [62]) in the MCi_Status register. A DTLB error is indicated by MCA error code (bits [15:0]) appearing as binary value, 000x 0000 0001 0100, in the MCi_Status register.  	  Due to this erratum, the Overflow bit in the MCi_Status register may not be an accurate indication of multiple occurrences of DTLB errors. There is no other impact to normal processor functionality.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  MONITOR or CLFLUSH on the Local XAPIC's Address Space Results in Hang  	  If the target linear address range for a MONITOR or CLFLUSH is mapped to the local xAPIC's address space, the processor will hang.  	  When this erratum occurs, the processor will hang. The local xAPIC's address space must be uncached. The MONITOR instruction only functions correctly if the specified linear address range is of the type write-back. CLFLUSH flushes data from the cache. Intel has not observed this erratum with any commercially available software.  	 Do not execute MONITOR or CLFLUSH instructions on the local xAPIC address space. 	  For the steppings affected, see the Summary Tables of Changes. 
  MOV To/From Debug Registers Causes Debug Exception  	  When in V86 mode, if a MOV instruction is executed to/from a debug registers, a general-protection exception (#GP) should be generated. However, in the case when the general detect enable flag (GD) bit is set, the observed behavior is that a debug exception (#DB) is generated instead.   22  	  With debug-register protection enabled (i.e., the GD bit set), when attempting to execute a MOV on debug registers in V86 mode, a debug exception will be generated instead of the expected general-protection fault.  	 In general, operating systems do not set the GD bit when they are in V86 mode. The GD bit is generally set and used by debuggers. The debug exception handler should check that the exception did not occur in V86 mode before continuing. If the exception did occur in V86 mode, the exception may be directed to the general-protection exception handler. 	  For the steppings affected, see the Summary Tables of Changes. 
 	NA	NA	NA	NA
  	 	NA	NA	NA
 buffer. Due to this erratum, if the overflow occurs during probe mode, it may be	NA	NA	NA	NA
  	NA	 	NA	NA
 during probe mode.  	NA	NA	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Performance Monitor Counter INST_RETIRED.STORES May Count Higher than Expected  	  Performance Monitoring counter INST_RETIRED.STORES (Event: C0H) is used to track retired instructions which contain a store operation. Due to this erratum, the processor may also count other types of instructions including WRMSR and MFENCE.  	  Performance Monitoring counter INST_RETIRED.STORES may report counts higher than expected.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Performance Monitoring Event FP_MMX_TRANS_TO_MMX May Not Count Some Transitions  	  Performance Monitor Event FP_MMX_TRANS_TO_MMX (Event CCH, Umask 01H) counts transitions from x87 Floating Point (FP) to MMX™ instructions. Due to this erratum, if only a small number of MMX instructions (including EMMS) are executed immediately after the last FP instruction, a FP to MMX transition may not be counted.  	  The count value for Performance Monitoring Event FP_MMX_TRANS_TO_MMX may be lower than expected. The degree of undercounting is dependent on the occurrences of the erratum condition while the counter is active. Intel has not observed this erratum with any commercially available software.  	 None Identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  REP MOVS/STOS Executing with Fast Strings Enabled and Crossing Page Boundaries with Inconsistent Memory Types may use an Incorrect Data Size or Lead to Memory-Ordering Violations.  	  Under certain conditions as described in the Software Developers Manual section “Outof-Order Stores For String Operations in Pentium 4, Intel Xeon, and P6 Family Processors” the processor performs REP MOVS or REP STOS as fast strings. Due to this erratum fast string REP MOVS/REP STOS instructions that cross page boundaries from WB/WC memory types to UC/WP/WT memory types, may start using an incorrect data size or may observe memory ordering violations.  23   	  Upon crossing the page boundary the following may occur, dependent on the new page memory type: • UC the data size of each write will now always be 8 bytes, as opposed to the original data size. • WP the data size of each write will now always be 8 bytes, as opposed to the original data size and there may be a memory ordering violation. • WT there may be a memory ordering violation.  	 Software should avoid crossing page boundaries from WB or WC memory type to UC, WP or WT memory type within a single REP MOVS or REP STOS instruction that will execute with fast strings enabled. 	  For the steppings affected, see the Summary Tables of Changes. 
  Reported Memory Type May Not Be Used to Access the VMCS and Referenced Data Structures  	  Bits 53:50 of the IA32_VMX_BASIC MSR report the memory type that the processor uses to access the VMCS and data structures referenced by pointers in the VMCS. Due to this erratum, a VMX access to the VMCS or referenced data structures will instead use the memory type that the MTRRs (memory-type range registers) specify for the physical address of the access.  	  Bits 53:50 of the IA32_VMX_BASIC MSR report that the WB (write-back) memory type will be used but the processor may use a different memory type.  	 Software should ensure that the VMCS and referenced data structures are located at physical addresses that are mapped to WB memory type by the MTRRs. 	  For the steppings affected, see the Summary Tables of Changes. 
  Single Step Interrupts with Floating Point Exception Pending May Be Mishandled  	  In certain circumstances, when a floating point exception (#MF) is pending during single-step execution, processing of the single-step debug exception (#DB) may be mishandled.  	  When this erratum occurs, #DB will be incorrectly handled as follows: • #DB is signaled before the pending higher priority #MF (Interrupt 16) • #DB is generated twice on the same instruction  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  The Processor May Report a #TS Instead of a #GP Fault  	  A jump to a busy TSS (Task-State Segment) may cause a #TS (invalid TSS exception) instead of a #GP fault (general protection exception).  	  Operation systems that access a busy TSS may get invalid TSS fault instead of a #GP fault. Intel has not observed this erratum with any commercially available software.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  VM Exits Due to “NMI-Window Exiting” May Be Delayed by One Instruction  	  If VM entry is executed with the “NMI-window exiting” VM-execution control set to 1, a VM exit with exit reason “NMI window” should occur before execution of any instruction if there is no virtual-NMI blocking, no blocking of events by MOV SS, and no blocking of events by STI. If VM entry is made with no virtual-NMI blocking but with blocking of events by either MOV SS or STI, such a VM exit should occur after execution of one   24  instruction in VMX non-root operation. Due to this erratum, the VM exit may be delayed by one additional instruction. 	  VMM software using “NMI-window exiting” for NMI virtualization should generally be unaffected, as the erratum causes at most a one-instruction delay in the injection of a virtual NMI, which is virtually asynchronous. The erratum may affect VMMs relying on deterministic delivery of the affected VM exits.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  Values for LBR/BTS/BTM Will be Incorrect after an Exit from SMM  	  After a return from SMM (System Management Mode), the CPU will incorrectly update the LBR (Last Branch Record) and the BTS (Branch Trace Store), hence rendering their data invalid. The corresponding data if sent out as a BTM on the system bus will also be incorrect. Note: This issue would only occur when one of the 3 above mentioned debug support facilities are used.  	  The value of the LBR, BTS, and BTM immediately after an RSM operation should not be used.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  VPHMINPOSUW Instruction in VEX Format Does Not Signal #UD (Invalid Opcode Exception) When vex.vvvv !=1111  	  Processor does not signal #UD fault when executing the reserved instruction VPHMINPOSUW with vex.vvvv!=1111. The VPHMINPOSUW instruction is described in greater detail in the Intel® Advanced Vector Extensions Programming Reference.  	  Executing VPHMINPOSUW with vex.vvvv != 1111 results in same behavior as vex.vvvv= 1111.  	 SW should not use VPHMINPOSUW with vex.vvvv != 1111 in order to ensure future compatibility. 	  For the steppings affected, see the Summary Tables of Changes. 
  Pending x87 FPU Exceptions (#MF) May be Signaled Earlier Than Expected  	  x87 instructions that trigger #MF normally service interrupts before the #MF. Due to this erratum, if an instruction that triggers #MF is executed while Enhanced Intel SpeedStep® Technology transitions, Intel® Turbo Boost Technology transitions, or Thermal Monitor events occur, the pending #MF may be signaled before pending interrupts are serviced.  	  Software may observe #MF being signaled before pending interrupts are serviced.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  VMREAD/VMWRITE Instruction May Not Fail When Accessing an Unsupported Field in VMCS  	  The Intel® 64 and IA-32 Architectures Software Developer’s Manual, Volume 2B states that execution of VMREAD or VMWRITE should fail if the value of the instruction’s register source operand corresponds to an unsupported field in the VMCS (Virtual Machine Control Structure). The correct operation is that the logical processor will set the ZF (Zero Flag), write 0CH into the VM-instruction error field and for VMREAD leave the instruction’s destination operand unmodified. Due to this erratum, the instruction  25   may instead clear the ZF, leave the VM-instruction error field unmodified and for VMREAD modify the contents of its destination operand. 	  Accessing an unsupported field in VMCS will fail to properly report an error. In addition, VMREAD from an unsupported VMCS field may unexpectedly change its destination operand. Intel has not observed this erratum with any commercially available software.  	 Software should avoid accessing unsupported fields in a VMCS. 	  For the steppings affected, see the Summary Tables of Changes. 
  Unexpected #UD on VZEROALL/VZEROUPPER  	  Execution of the VZEROALL or VZEROUPPER instructions in 64-bit mode with VEX.W set to 1 may erroneously cause a #UD (invalid-opcode exception).  	  The affected instructions may produce unexpected invalid-opcode exceptions in 64-bit mode.  	 Compilers should encode VEX.W = 0 for the VZEROALL and VZEROUPPER instructions. 	  For the steppings affected, see the Summary Tables of Changes. 
  Execution of Opcode 9BH with the VEX Opcode Extension May Produce a #NM Exception  	  Attempt to use opcode 9BH with a VEX opcode extension should produce a #UD (Invalid-Opcode) exception. Due to this erratum, if CR0.MP and CR0.TS are both 1, the processor may produce a #NM (Device-Not-Available) exception if one of the following conditions exists: • 66H, F2H, F3H or REX as a preceding prefix; • An illegal map specified in the VEX.mmmmm field;  	  Due to this erratum, some undefined instruction encodings may produce a #NM instead of a #UD exception.  	 Software should not use opcode 9BH with the VEX opcode extension. 	  For the steppings affected, see the Summary Tables of Changes. 
  Enabling Opportunistic Self-Refresh and Pkg C2 State Can Severely Degrade PCIe* Bandwidth  	  Due to this erratum, enabling opportunistic self-refresh can lead to the memory controller over-aggressively transitioning DRAM to self-refresh mode when the processor is in Pkg C2 state.  	  The PCIe interface peak bandwidth can be degraded by as much as 90%.  	 A BIOS code change has been identified and may be implemented as a workaround for this erratum. 	  For the affected steppings, see the Summary Tables of Changes. 
  An Unexpected Page Fault or EPT Violation May Occur After Another Logical Processor Creates a Valid Translation for a Page  	  An unexpected page fault (#PF) or EPT violation may occur for a page under the following conditions: • The paging structures initially specify no valid translation for the page. • Software on one logical processor modifies the paging structures so that there is a valid translation for the page (e.g., by setting to 1 the present bit in one of the paging-structure entries used to translate the page). • Software on another logical processor observes this modification (e.g., by accessing a linear address on the page or by reading the modified paging-structure entry and seeing value 1 for the present bit).   26  • Shortly thereafter, software on that other logical processor performs a store to a linear address on the page. In this case, the store may cause a page fault or EPT violation that indicates that there is no translation for the page (e.g., with bit 0 clear in the page-fault error code, indicating that the fault was caused by a not-present page). Intel has not observed this erratum with any commercially available software. 	  An unexpected page fault may be reported. There are no other side effects due to this erratum.  	 System software can be constructed to tolerate these unexpected page faults. See Section “Propagation of Paging-Structure Changes to Multiple Processors” of Volume 3B of IA-32 Intel® Architecture Software Developer’s Manual, for recommendations for software treatment of asynchronous paging-structure updates. 	  For the steppings affected, see the Summary Tables of Changes. 
  Faulting Executions of XRSTOR May Update State Inconsistently  	  The state updated by a faulting XRSTOR instruction may vary from one execution to another.  	  Software that relies on x87/SSE/AVX state following a faulting execution of XRSTOR may behave inconsistently.  	 Software handling a fault on an execution of XRSTOR can compensate for execution variability by correcting the cause of the fault and executing XRSTOR again. 	  For the steppings affected, see the Summary Tables of Changes. 
  Execution of FXSAVE or FXRSTOR With the VEX Prefix May Produce a #NM Exception  	  Attempt to use FXSAVE or FXRSTOR with a VEX prefix should produce a #UD (InvalidOpcode) exception. If either the TS or EM flag bits in CR0 are set, a #NM (device-notavailable) exception will be raised instead of #UD exception.  	  Due to this erratum a #NM exception may be signaled instead of a #UD exception on an FXSAVE or an FXRSTOR with a VEX prefix.  	 Software should not use FXSAVE or FXRSTOR with the VEX prefix. 	  For the steppings affected, see the Summary Tables of Changes. 
  Unexpected #UD on VPEXTRD/VPINSRD  	  Execution of the VPEXTRD or VPINSRD instructions outside of 64-bit mode with VEX.W set to 1 may erroneously cause a #UD (invalid-opcode exception).  	  The affected instructions may produce unexpected invalid-opcode exceptions outside 64-bit mode.  	 Software should encode VEX.W = 0 for executions of the VPEXTRD and VPINSRD instructions outside 64-bit mode. 	  For the steppings affected, see the Summary Tables of Changes. 
  #GP May be Signaled When Invalid VEX Prefix Precedes Conditional Branch Instructions  	  When a 2-byte opcode of a conditional branch (opcodes 0F8xH, for any value of x) instruction resides in 16-bit code-segment and is associated with invalid VEX prefix, it may sometimes signal a #GP fault (illegal instruction length > 15-bytes) instead of a #UD (illegal opcode) fault.  	  Due to this erratum, #GP fault instead of a #UD may be signaled on an illegal instruction.  	 None identified.  27   	  For the steppings affected, see the Summary Tables of Changes. 
  LBR, BTM or BTS Records May have Incorrect Branch From Information After an EIST/T-state/S-state/C1E Transition or Adaptive Thermal Throttling  	  The “From” address associated with the LBR (Last Branch Record), BTM (Branch Trace Message) or BTS (Branch Trace Store) may be incorrect for the first branch after a transition of: • EIST (Enhanced Intel® SpeedStep Technology) • T-state (Thermal Monitor states) • S1-state (ACPI package sleep state) • C1E (Enhanced C1 Low Power state) • Adaptive Thermal Throttling  	  When the LBRs, BTM or BTS are enabled, some records may have incorrect branch “From” addresses for the first branch after a transition of EIST, T-states, S-states, C1E, or Adaptive Thermal Throttling.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  A Write to the IA32_FIXED_CTR1 MSR May Result in Incorrect Value in Certain Conditions  	  Under specific internal conditions, if software tries to write the IA32_FIXED_CTR1 MSR (30AH) a value that has all bits [31:1] set while the counter was just about to overflow when the write is attempted (i.e. its value was 0xFFFF FFFF FFFF), then due to this erratum the new value in the MSR may be corrupted.  	  Due to this erratum, IA32_FIXED_CTR1 MSR may be written with a corrupted value.  	 Software may avoid this erratum by writing zeros to the IA32_FIXED_CTR1 MSR, before the desired write operation. 	  For the steppings affected, see the Summary Tables of Changes. 
  L1 Data Cache Errors May be Logged With Level Set to 1 Instead of 0  	  When an L1 Data Cache error is logged in IA32_MCi_STATUS[15:0], which is the MCA Error Code Field, with a cache error type of the format 0000 0001 RRRR TTLL, the LL field may be incorrectly encoded as 01b instead of 00b.  	  An error in the L1 Data Cache may report the same LL value as the L2 Cache. Software should not assume that an LL value of 01b is the L2 Cache.  	 None identified. 	  For the steppings affected, see the Summary Tables of Changes. 
  PECI RdPkgConfig() May Return Invalid Data For an Unsupported Channel  	  The processor's PECI facility can report the current temperature of each of the DIMMs on a specified channel (PECI RdPkgConfig command, index 14H, DIMM_Temperature_Read). Valid channel numbers range from 0 to 3. Channel numbers outside of the valid range should be detected and flagged. Due to this erratum, meaningless values are returned without an error flag when 4 is specified as the channel number.  	  Using channel 4 with the PECI RdPkgConfig DIMM_Temperature_Read command does not return an error flag.  	 None identified.   28  	  For the affected steppings, see the Summary Tables of Changes. 
  VM Entries That Return From SMM Using VMLAUNCH May Not Update The Launch State of the VMCS  	  Successful VM entries using the VMLAUNCH instruction should set the launch state of the VMCS to “launched”. Due to this erratum, such a VM entry may not update the launch state of the current VMCS if the VM entry is returning from SMM.  	  Subsequent VM entries using the VMRESUME instruction with this VMCS will fail. RFLAGS.ZF is set to 1 and the value 5 (indicating VMRESUME with non-launched VMCS) is stored in the VM-instruction error field. This erratum applies only if dual monitor treatment of SMI and SMM is active.  	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  Interrupt From Local APIC Timer May Not Be Detectable While Being Delivered  	  If the local-APIC timer’s CCR (current-count register) is 0, software should be able to determine whether a previously generated timer interrupt is being delivered by first reading the delivery-status bit in the LVT timer register and then reading the bit in the IRR (interrupt-request register) corresponding to the vector in the LVT timer register. If both values are read as 0, no timer interrupt should be in the process of being delivered. Due to this erratum, a timer interrupt may be delivered even if the CCR is 0 and the LVT and IRR bits are read as 0. This can occur only if the DCR (Divide Configuration Register) is greater than or equal to 4. The erratum does not occur if software writes zero to the Initial Count Register before reading the LVT and IRR bits.  	  Software that relies on reads of the LVT and IRR bits to determine whether a timer interrupt is being delivered may not operate properly.  	 Software that uses the local-APIC timer must be prepared to handle the timer interrupts, even those that would not be expected based on reading CCR and the LVT and IRR bits; alternatively, software can avoid the problem by writing zero to the Initial Count Register before reading the LVT and IRR bits. 	  For the steppings affected, see the Summary Tables of Changes. 
  End Agent PCIe* Packet Errors May Result in a System Hang  	  PCIe agents are required by the PCIe Base Specification to identify and report packet errors. Due to this erratum, certain invalid completion types from the end agent are not correctly handled by the processor.  	  If a PCIe end agent issues certain invalid completion types, the system may hang.  	 None identified. 	  For the affected steppings, see the Summary Tables of Changes. 
  Poison Packets Will be Reported to PCIe* Port 1a When Forwarded to Port 1b  	  With respect to data poisoning, the processor IIO module supports forwarding poisoned information between the coherent interface and PCIe and vice-versa. Also the processor IIO module supports forwarding poisoned data between peer PCIe ports. When the PCIe Ports 1a and 1b are configured as x4, the outbound Poison Error is reported on Port 1a when a poison packet is forwarded to Port 1b.  	  When Ports 1a and 1b are configured as x4 ports, Poison Errors reported on the root port are unreliable.  	 None identified. 	  29  For the steppings affected, see the Summary Tables of Changes.  
  IA32_MCi_ADDR Overwritten in The Case of Multiple Recoverable Instruction Fetch Errors  	  The instruction fetch machine check error (MCACOD 0x150) is a SRAR (Software Recoverable Action Required) error. The address of the location with the error is provided in the corresponding IA32_MCi_ADDR MSR. When multiple instruction fetch errors are logged as part of a single machine check event, as indicated by setting of the Overflow (bit 62) in the IA32_MCi_STATUS MSR, then recovery is not possible. Due to this erratum, when multiple instruction fetch errors are logged in the same bank, the IA32_MCi_MISC MSR contains all of the correct information including the proper setting for Overflow (bit 62); however, the IA32_MCi_ADDR MSR is overwritten with a value that corresponds to neither the first or second error.  	  When debugging failures associated with the instruction fetch machine check error and the Overflow bit is set, the value in IA32_MCi_ADDR will not be valid.  	 It is possible for the BIOS to contain a workaround for this erratum. 	  For the steppings affected, see the Summary Tables of Changes. 
  PCIe* Link May Not Train to Full Width  	  During PCIe link training, the receiver looks at symbols in the TS1 and TS2 Ordered Sets as indicators of lane polarity inversion. If polarity inversion is detected, the receiver must invert those lane(s). Due to this erratum, the receiver may incorrectly set polarity inversion.  	  PCIe links may not train to full width.  	 None identified. Perform a Secondary Bus Reset on the link up to three times to achieve full width. 	  For the affected steppings, see the Summary Tables of Changes. 
  Spurious SMIs May Occur Due to MEMHOT# Assertion  	  The IMC (Integrated Memory Controller) can be programmed to generate an SMI (System Management Interrupt) on an internal MEMHOT# event assertion through the MHOT_SMI_EN field (MH_MAINCNTL Bus: 1; Device: 15; Function: 0; Offset: 104H; bit[17]) or on assertion of the external MEMHOT[1:0]#pin though the MHOT_EXT_SMI_EN field (MH_MAINCNTL Bus: 1; Device: 15; Function: 0; Offset: 104H; bit[18]). Due to this erratum, a spurious SMI may be generated every 500uS if both internal and external MEMHOT events are enabled simultaneously.  	  Due to this erratum, excessive SMI generation may occur.  	 A BIOS code change has been identified and may be implemented as a workaround for this erratum. 	  For the affected steppings, see the Summary Tables of Changes. 
